 All's fair for Damage Inc. you see
 Step a little closer if you please

 Blood will follow blood
 Dying time is here
 Damage Incorporated"27,4,�And Justice For All,Blackened,1,1,1988,0,6,41,401,0,0,0,1,1,0,0,0,1,0,0,487,"Blackened is the end
 Winter it will send
 Throwing all you see
 Into obscurity

 Death of Mother Earth
 Never a rebirth
 Evolution�s end
 Never will it mend

 Never

 Fire
 To begin whipping dance of the dead
 Blackened is the end
 To begin whipping dance of the dead
 Color our world blackened

 Blistering of earth
 Terminate its worth
 Deadly nicotine
 Kills what might have been

 Callous frigid chill
 Nothing left to kill
 Never seen before
 Breathing nevermore

 Never

 Fire
 To begin whipping dance of the dead
 Blackened is the end
 To begin whipping dance of the dead
 Color our world blackened

 Blackened

 Opposition...contradiction...premonition...compromise
 Agitation...violation...mutilation...planet dies

 Darkest color
 Blistered earth
 True death of life

 Termination...expiration...cancellation...human race
 Expectation...liberation...population...lay to waste

 See our mother
 Put to death
 See our mother die

 Smoldering decay
 Take her breath away
 Millions of our years
 In minutes disappears

 Darkening in vain
 Decadence remains
 All is said and done
 Never is the sun

 Never

 Fire
 To begin whipping dance of the dead
 Blackened is the end
 To begin whipping dance of the dead
 Fire
 Is the outcome of hypocrisy
 Darkest potency
 In the exit of humanity
 Color our world blackened

 Blackened "28,4,�And Justice For All,�And Justice For All,1,2,1988,0,9,46,586,0,0,0,1,1,1,0,0,0,0,0,257,"Halls of justice painted green
 Money talking
 Power wolves beset your door
 Hear them stalking
 Soon you�ll please their appetite
 They devour
 Hammer of justice crushes you
 Overpower

 The ultimate in vanity
 Exploiting their supremacy
 I can�t believe the things you say
 I can�t believe
 I can�t believe the price you pay
 Nothing can save you

 Justice is lost
 Justice is raped
 Justice is gone
 Pulling your strings
 Justice is done
 Seeking no truth
 Winning is all
 Find it so grim
 So true
 So real

 Apathy their stepping stone
 So unfeeling
 Hidden deep animosity
 So deceiving
 Through your eyes their light burns
 Hoping to find
 Inquisition sinking you
 With prying minds

 The ultimate in vanity
 Exploiting their supremacy
 I can�t believe the things you say
 I can�t believe
 I can�t believe the price you pay
 Nothing can save you

 Justice is lost
 Justice is raped
 Justice is gone
 Pulling your strings
 Justice is done
 Seeking no truth
 Winning is all
 Find it so grim
 So true
 So real

 Lady Justice has been raped
 Truth assassin
 Rolls of red tape seal your lips
 Now you�re done in
 Their money tips her scales again
 Make your deal
 Just what is truth? I cannot tell
 Cannot feel

 The ultimate in vanity
 Exploiting their supremacy
 I can�t believe the things you say
 I can�t believe
 I can�t believe the price we pay
 Nothing can save us

 Justice is lost
 Justice is raped
 Justice is gone
 Pulling your strings
 Justice is done
 Seeking no truth
 Winning is all
 Find it so grim
 So true
 So real

 Seeking no truth
 Winning is all
 Find it so grim
 So true
 So real "29,4,�And Justice For All,Eye of the Beholder,1,3,1988,0,6,30,390,0,0,0,1,1,1,0,0,0,0,0,125,"Do you see what I see?
 Truth is an offence
 Your silence for your confidence

 Do you hear what I hear?
 Doors are slamming shut
 Limit your imagination, keep you where they must

 Do you feel what I feel?
 Bittering distress
 Who decides what you express?

 Do you take what I take?
 Endurance is the word
 Moving back instead of forward seems to me absurd

 Doesn�t matter what you see
 Or into it what you read
 You can do it your own way
 If it�s done just how I say

 Independence limited
 Freedom of choice
 Choice is made for you, my friend
 Freedom of speech
 Speech is words that they will bend
 Freedom with their exception

 Do you fear what I fear?
 Living properly
 Truths to you are lies to me

 Do you choose what I choose?
 More alternatives
 Energy derives from both the plus and negative

 Do you need what I need?
 Boundaries overthrown
 Look inside, to each his own

 Do you trust what I trust?
 Me, myself and I
 Penetrate the smoke screen, I see through the selfish lie

